Height,Weight
190,50
199,156
154,105
161,155
198,145
192,140
195,126
166,160
159,154
181,106
149,66
150,70
146,157
190,135
192,90
177,96
148,60
165,57
146,104
144,108
176,156
168,87
187,122
187,138
184,160
158,149
158,96
194,115
145,79
182,151
154,54
168,139
187,70
158,153
167,110
171,155
183,150
190,156
194,108
171,147
159,124
169,54
167,85
180,149
163,123
140,79
197,125
194,106
140,146
195,98
168,115
196,50
140,52
150,60
168,140
155,111
179,103
182,84
168,160
187,102
181,105
199,99
184,76
192,101
182,143
172,111
181,78
176,109
156,106
151,67
188,80
187,136
174,138
167,151
196,131
197,149
185,119
170,102
181,94
166,126
188,100
162,74
177,117
162,97
180,73
192,108
165,80
167,135
182,84
161,134
158,95
141,85
154,100
165,105
142,137
141,94
145,108
157,74
177,117
166,144
